nomem_encr,cv08a043,cv09b043,cv08a030,cv09b030,income,government,eco,gov,cv09b038,cv08a038,cv09b039,cv08a039,cv09b040,cv08a040,cv09b041,cv08a041,cv09b042,cv08a042,cv09b044,cv08a044,cv09b045,cv08a045,cv09b046,cv08a046
865921,5,1,0,0,NA,0,-4,0,0,5,1,9,1,9,1,10,2,10,1,2,2,8,2,9
865954,6,4,6,6,7,0,-2,0,6,5,7,6,7,6,6,7,7,7,5,7,NA,6,NA,NA
865979,9,8,5,6,NA,1,-1,1,8,6,8,5,8,7,9,8,7,6,8,5,9,9,9,NA
865982,6,1,4,5,7,1,-5,1,3,2,2,5,5,5,3,7,5,7,3,5,4,8,4,7
866033,7,5,7,5,1,NA,-2,-2,5,2,6,7,8,7,7,7,8,7,8,7,8,6,7,4
866052,8,6,6,7,NA,0,-2,1,3,6,6,6,4,5,6,7,7,8,6,7,7,7,6,5
866061,7,5,6,6,2,1,-2,0,3,4,7,7,7,7,7,6,6,7,5,7,7,7,4,6
866088,5,6,5,6,1,0,1,1,4,3,6,7,7,7,8,8,7,6,6,5,7,8,3,3
866101,6,7,6,7,NA,NA,1,1,6,7,7,7,6,5,7,6,7,6,8,8,7,8,6,7
866110,6,5,4,6,1,NA,-1,2,6,5,3,1,6,4,6,5,5,5,4,5,6,6,6,4
866113,6,6,6,6,NA,0,0,0,6,4,6,7,6,7,6,7,7,7,7,6,6,5,5,4
866128,7,6,7,8,1,1,-1,1,5,6,6,5,7,7,8,7,7,6,8,8,8,8,7,6
866140,4,2,3,7,NA,NA,-2,4,8,7,8,6,4,6,4,5,6,6,5,7,6,7,7,6
866217,6,6,5,6,5,0,0,1,4,3,5,5,7,7,7,7,7,8,5,5,7,7,4,4
866226,7,7,6,8,NA,0,0,2,5,6,7,7,8,7,7,7,7,NA,7,8,6,7,5,NA
866296,7,8,0,3,4,0,1,3,6,7,8,8,8,6,9,9,8,8,8,8,8,8,6,5
866317,8,7,2,5,4,0,-1,3,2,4,6,4,5,2,5,2,7,8,5,6,8,9,7,9
866381,7,6,6,7,NA,NA,-1,1,7,7,8,6,8,6,8,7,7,7,8,7,7,7,7,7
866427,7,6,5,7,NA,0,-1,2,6,5,7,5,7,7,6,7,7,7,7,7,7,6,7,6
866488,7,6,4,7,6,1,-1,3,7,6,6,5,6,6,6,7,7,6,7,6,8,7,8,7
866494,5,4,5,6,NA,0,-1,1,2,4,6,6,5,5,7,6,5,6,3,6,5,5,NA,4
866500,5,4,5,5,1,1,-1,0,4,5,5,5,4,4,5,4,5,5,5,5,8,6,NA,NA
866543,4,5,3,6,NA,0,1,3,6,4,5,4,6,4,6,5,6,4,6,4,5,7,6,5
866571,7,5,0,1,1,0,-2,1,4,5,7,5,0,0,1,5,7,7,5,5,7,5,7,5
866577,5,6,4,6,NA,1,1,2,7,5,6,4,7,5,7,5,7,6,8,7,8,7,7,5
866610,5,7,6,7,1,NA,2,1,6,6,8,7,3,7,4,6,10,9,7,5,9,8,5,8
866619,6,6,6,6,4,0,0,0,6,6,5,8,7,8,8,8,8,7,8,8,8,7,7,6
866674,7,6,5,7,NA,0,-1,2,6,6,7,6,7,7,7,7,8,7,7,7,7,7,6,NA
866693,8,6,6,7,5,1,-2,1,7,7,8,8,7,9,6,7,8,8,8,8,7,8,6,7
866699,7,7,6,7,NA,1,0,1,6,4,7,6,7,6,7,7,8,8,8,8,7,7,6,7
866729,5,4,5,5,NA,0,-1,0,4,6,4,6,5,6,3,3,4,5,4,5,5,6,2,5
866732,7,6,2,6,4,0,-1,4,5,5,6,6,6,4,7,6,7,7,7,7,7,7,6,6
866757,4,6,3,6,1,1,2,3,4,1,7,3,7,4,7,4,8,7,8,7,8,7,5,5
866796,8,7,7,7,NA,1,-1,0,1,4,7,7,7,8,7,8,7,8,9,8,7,8,7,7
866894,2,0,2,0,2,0,-2,-2,0,6,5,7,7,7,6,7,2,6,0,2,8,7,0,2
866912,8,7,6,7,NA,1,-1,1,7,7,7,7,8,7,7,8,8,8,8,8,7,8,7,7
866946,6,4,2,5,NA,1,-2,3,4,5,5,5,7,8,6,6,5,8,4,5,7,8,6,5
866967,7,3,4,3,1,0,-4,-1,3,5,3,5,3,7,3,7,3,7,3,6,3,8,3,8
867022,7,6,9,7,1,1,-1,-2,5,5,7,7,6,6,6,7,8,8,8,9,7,7,5,5
867041,5,7,5,7,NA,1,2,2,5,3,8,6,8,6,8,6,8,6,8,6,7,5,7,0
867044,7,6,7,7,1,1,-1,0,8,8,7,6,7,6,6,7,7,7,6,7,6,6,6,6
867092,3,5,4,6,NA,1,2,2,6,5,6,5,5,3,7,3,5,3,5,3,6,6,6,3
867102,0,7,6,5,2,0,7,-1,5,5,5,7,7,8,7,7,6,NA,9,6,8,8,NA,8
867120,8,7,8,8,1,NA,-1,0,1,3,8,8,7,5,6,6,7,8,8,8,7,7,6,6
867147,6,6,5,6,NA,0,0,1,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6
867184,6,6,6,7,1,1,0,1,7,7,4,5,5,3,7,5,6,6,6,7,7,6,4,3
867187,7,7,7,7,1,NA,0,0,6,7,7,7,6,6,7,7,7,7,8,7,7,7,7,7
867193,1,4,0,2,NA,NA,3,2,5,4,3,0,4,1,3,1,3,1,4,2,4,3,1,1
867196,6,6,7,7,7,1,0,0,7,7,6,6,7,7,7,7,8,8,7,7,7,5,7,6
867202,0,0,2,7,1,0,0,5,0,0,5,NA,2,4,1,3,8,NA,2,5,5,6,0,NA
867211,7,4,6,5,4,NA,-3,-1,5,6,5,7,7,7,7,7,7,6,4,7,7,7,7,6
867230,8,7,6,7,1,0,-1,1,8,8,7,6,7,7,7,7,7,8,8,8,7,7,7,7
867245,5,5,5,5,NA,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,6,7,4,2
867254,7,5,5,7,NA,0,-2,2,7,6,8,6,8,8,7,8,7,7,7,7,8,9,7,8
867260,7,4,2,6,NA,0,-3,4,7,7,NA,NA,4,4,4,3,6,7,6,7,7,6,7,6
867269,4,5,4,5,4,NA,1,1,6,2,3,4,5,4,6,4,5,5,4,4,6,4,6,3
867303,8,8,6,6,NA,0,0,0,8,7,7,8,6,6,7,7,8,8,8,7,8,7,7,4
867312,7,6,5,8,1,0,-1,3,6,5,5,5,6,6,6,6,6,7,8,5,8,7,5,5
867330,7,7,5,6,1,0,0,1,8,2,7,7,8,7,8,7,9,7,7,7,7,7,7,7
867340,8,6,8,8,4,0,-2,0,7,7,8,8,8,8,8,9,9,7,9,9,9,9,6,7
867346,8,8,6,6,NA,1,0,0,7,7,6,6,7,7,8,8,8,8,8,7,9,8,6,4
867352,6,2,6,5,4,0,-4,-1,4,7,5,6,7,7,6,8,9,9,3,6,6,8,4,7
867358,5,6,5,5,7,0,1,0,2,4,3,1,6,6,6,7,6,7,6,5,7,6,7,6
867398,6,3,8,6,NA,0,-3,-2,7,8,7,10,8,5,8,8,7,7,8,8,5,10,3,6
