stfeco,stfgov,stflife,stfdem,bailout,Bailout,income,government,gndr,agea,eduyrs,hinctnta,partner,uemp3m,polintr,lrscale,region_north,region_east,region_west,region_south
6,4,8,3,0,0,10,NA,1,36,19,10,1,2,1,4,0,0,0,1
7,6,6,7,0,0,9,0,2,55,18,9,1,1,3,4,0,0,0,1
6,7,9,8,1,1,10,0,1,49,14,10,1,2,2,8,0,0,0,1
1,0,2,2,1,1,NA,NA,2,65,8,NA,2,NA,4,NA,0,0,0,1
6,6,8,7,1,1,5,1,2,31,22,5,2,2,2,3,0,0,0,1
8,9,10,9,1,1,3,0,1,85,10,3,2,2,1,7,0,0,0,1
4,7,6,9,1,1,5,NA,1,35,11,5,2,2,3,9,0,0,0,1
5,5,8,NA,1,1,NA,1,2,72,6,NA,1,NA,4,NA,0,0,0,1
5,6,8,7,1,1,9,0,1,70,17,9,1,2,2,6,0,0,0,1
8,8,9,6,1,1,7,1,1,26,20,7,2,2,2,6,0,0,0,1
8,5,9,7,1,1,3,0,1,38,14,3,1,1,3,6,0,0,0,1
7,8,8,7,0,0,10,1,1,72,18,10,1,2,2,7,0,0,0,1
8,4,8,9,1,1,NA,NA,1,19,11,NA,2,NA,2,3,0,0,0,1
5,6,7,6,1,1,4,0,2,61,10,4,1,2,2,5,0,0,0,1
7,7,9,7,1,1,9,0,1,40,20,9,1,1,2,8,0,0,0,1
6,6,8,7,1,1,2,1,2,77,8,2,1,2,4,7,0,0,0,1
6,7,9,8,1,1,10,0,2,38,19,10,1,2,2,7,0,0,0,1
6,5,5,6,1,1,2,NA,2,60,7,2,1,2,4,5,0,0,0,1
8,8,8,8,0,0,8,1,1,37,19,8,1,NA,1,7,0,0,0,1
6,6,7,6,1,1,3,NA,2,72,11,3,2,2,2,7,0,0,0,1
6,4,8,4,1,1,9,1,1,53,14,9,1,2,2,6,0,0,0,1
6,6,6,6,1,1,1,NA,2,53,16,1,2,2,3,6,0,0,0,1
6,5,9,6,1,1,7,1,1,34,13,7,1,2,4,5,0,0,0,1
7,7,8,7,0,0,2,1,1,69,16,2,1,2,2,6,0,0,0,1
5,8,10,6,1,1,7,0,2,55,10,7,1,2,3,5,0,0,0,1
4,6,8,5,1,1,7,1,2,59,14,7,1,2,2,4,0,0,0,1
6,6,7,7,1,1,1,1,2,80,7,1,2,2,3,7,0,0,0,1
5,6,7,7,1,1,3,1,2,74,10,3,2,2,2,7,0,0,0,1
7,6,7,6,1,1,NA,0,2,50,9,NA,1,NA,3,6,0,0,0,1
6,7,8,7,1,1,3,1,2,80,13,3,1,2,2,8,0,0,0,1
5,6,7,6,1,1,3,1,1,75,7,3,1,2,4,7,0,0,0,1
8,7,8,7,1,1,4,NA,1,71,5,4,1,2,2,6,0,0,0,1
5,5,8,4,1,1,5,1,2,56,9,5,2,2,4,1,0,0,0,1
9,9,8,9,1,1,NA,NA,2,26,3,NA,1,NA,4,5,0,0,0,1
8,8,8,8,1,1,6,1,1,56,14,6,2,2,3,4,0,0,0,1
8,7,8,8,1,1,8,0,2,23,19,8,1,NA,2,5,0,0,0,1
7,7,8,7,1,1,5,1,2,39,16,5,1,2,2,6,0,0,0,1
8,5,8,4,1,1,7,0,1,49,15,7,1,2,3,5,0,0,0,1
6,6,8,8,0,0,7,1,2,31,17,7,2,1,2,8,0,0,0,1
1,4,10,7,0,0,4,NA,2,31,10,4,1,1,4,5,0,0,0,1
7,5,8,7,0,0,9,1,1,68,12,9,1,2,3,5,0,0,0,1
6,4,6,6,0,0,6,0,1,45,8,6,1,2,3,4,0,0,0,1
3,3,3,5,0,0,2,1,2,64,10,2,2,2,2,3,0,0,0,1
7,4,4,5,0,0,1,0,2,35,9,1,2,1,2,8,0,0,0,1
7,8,7,7,0,0,7,1,1,49,11,7,1,2,3,5,0,0,0,1
5,6,8,7,1,1,4,NA,2,29,18,4,2,1,2,3,0,0,0,1
0,3,10,3,1,1,7,1,2,37,20,7,2,2,3,3,0,0,0,1
5,7,9,9,0,0,3,NA,2,15,9,3,2,2,3,7,0,0,0,1
6,5,7,7,1,1,6,0,1,66,22,6,1,2,1,2,0,0,0,1
8,6,7,6,0,0,4,1,2,74,6,4,1,2,2,6,0,0,0,1
5,8,8,6,1,1,8,1,1,55,11,8,1,NA,2,4,0,0,0,1
4,5,3,5,1,1,3,1,1,68,13,3,2,2,2,3,0,0,0,1
7,5,7,6,1,1,4,1,1,66,10,4,1,2,2,7,0,0,0,1
6,1,9,7,1,1,7,1,2,61,15,7,1,1,2,5,0,0,0,1
3,7,7,8,1,1,8,1,1,49,15,8,1,NA,2,4,0,0,0,1
7,7,9,7,1,1,NA,NA,1,18,12,NA,2,NA,2,6,0,0,0,1
